"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 08 11:50:20 GMT 2024","Fri Mar 08 11:50:28 GMT 2024","7544","","Validate login","","","","Validate successful login",""
"passed","Fri Mar 08 11:50:30 GMT 2024","Fri Mar 08 11:50:32 GMT 2024","2098","","Validate login","","","","Validate forget password functionality - Password Reset with Valid Email",""
"passed","Fri Mar 08 11:50:32 GMT 2024","Fri Mar 08 11:50:34 GMT 2024","1412","","Validate login","","","","Validate forget password functionality - Password Reset with Invalid Email",""
"passed","Fri Mar 08 11:50:28 GMT 2024","Fri Mar 08 11:50:30 GMT 2024","2128","","Validate login","","","","Validate Unsuccessful login",""
